Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
CESSNA 152,2366,2348,390.0,390.0,421.0,2364.0,CESSNA,0.16609880749574105
CESSNA 172,1753,1744,398.0,398.0,391.0,2250.0,CESSNA,0.22821100917431192
CESSNA 172N,1163,1160,428.0,428.0,341.0,1350.0,CESSNA,0.3689655172413793
BOEING 737,489,135,1348.0,1348.0,91.0,25441.0,BOEING,9.985185185185186
BOEING 777,95,23,0.0,0.0,23.0,9419.0,BOEING,0.0
AIRBUS A320,85,16,283.0,283.0,13.0,3324.0,AIRBUS,17.6875
BOEING 747,85,20,6.0,6.0,10.0,5032.0,BOEING,0.3
BOEING 767,68,29,128.0,128.0,30.0,6365.0,BOEING,4.413793103448276
BOEING 757,59,22,44.0,44.0,72.0,4978.0,BOEING,2.0
BOEING 737-200,53,35,906.0,906.0,70.0,2665.0,BOEING,25.885714285714286
BOEING 737-300,51,29,167.0,167.0,109.0,4045.0,BOEING,5.758620689655173
BOEING 727-200,43,23,52.0,52.0,43.0,4364.0,BOEING,2.260869565217391
MCDONNELL DOUGLAS MD-11,39,22,5.0,5.0,388.0,3889.0,MCDONNELL DOUGLAS,0.22727272727272727
MCDONNELL DOUGLAS DC-10-10,36,12,111.0,111.0,280.0,6248.0,MCDONNELL DOUGLAS,9.25
AIRBUS A330,34,10,331.0,331.0,24.0,3164.0,AIRBUS,33.1
BOEING 737-800,33,11,154.0,154.0,4.0,2069.0,BOEING,14.0
MCDONNELL DOUGLAS DC-9-82,31,12,158.0,158.0,12.0,3560.0,MCDONNELL DOUGLAS,13.166666666666666
BOEING 737-400,30,15,165.0,165.0,25.0,1711.0,BOEING,11.0
BOEING 747-400,29,17,83.0,83.0,41.0,6260.0,BOEING,4.882352941176471
MCDONNELL DOUGLAS MD-82,28,12,36.0,36.0,203.0,2252.0,MCDONNELL DOUGLAS,3.0
BOEING 727,27,14,82.0,82.0,18.0,2425.0,BOEING,5.857142857142857
MCDONNELL DOUGLAS DC-10-30,24,13,20.0,20.0,106.0,5151.0,MCDONNELL DOUGLAS,1.5384615384615385
BOEING 757-232,24,16,0.0,0.0,33.0,3647.0,BOEING,0.0
MCDONNELL DOUGLAS MD-88,21,12,2.0,2.0,14.0,2143.0,MCDONNELL DOUGLAS,0.16666666666666666
BOEING 757-222,21,12,1.0,1.0,2.0,2886.0,BOEING,0.08333333333333333
BOEING 757-200,21,12,254.0,254.0,18.0,2636.0,BOEING,21.166666666666668
BOEING 717-200,20,10,0.0,0.0,25.0,1356.0,BOEING,0.0
BOEING 737-7H4,19,11,0.0,0.0,5.0,2207.0,BOEING,0.0
BOEING 737 7H4,16,14,1.0,1.0,15.0,1704.0,BOEING,0.07142857142857142
